times,survival,lower_estimate,upper_estimate,id
0.0,0.593,0.579,0.606,1
0.5,0.568,0.554,0.582,1
1.0,0.548,0.533,0.562,1
1.5,0.469,0.454,0.484,1
2.0,0.398,0.383,0.413,1
2.5,0.317,0.302,0.332,1
3.0,0.236,0.221,0.251,1
3.5,0.228,0.213,0.243,1
4.0,0.228,0.213,0.243,1
0.0,0.63,0.605,0.654,2
0.5,0.588,0.562,0.612,2
1.0,0.557,0.531,0.582,2
1.5,0.557,0.531,0.582,2
0.0,0.82,0.812,0.828,3
0.5,0.816,0.808,0.824,3
1.0,0.815,0.806,0.823,3
1.5,0.813,0.804,0.821,3
2.0,0.81,0.802,0.819,3
2.5,0.808,0.8,0.816,3
3.0,0.806,0.797,0.814,3
3.5,0.76,0.75,0.769,3
4.0,0.742,0.732,0.752,3
4.5,0.74,0.731,0.75,3
5.0,0.74,0.73,0.75,3
5.5,0.74,0.73,0.75,3
6.0,0.74,0.73,0.75,3
6.5,0.74,0.73,0.75,3
7.0,0.74,0.73,0.75,3
7.5,0.74,0.73,0.75,3
8.0,0.74,0.73,0.75,3
8.5,0.74,0.73,0.75,3
0.0,0.781,0.744,0.813,4
0.5,0.777,0.74,0.809,4
1.0,0.734,0.694,0.769,4
1.5,0.684,0.641,0.723,4
2.0,0.684,0.641,0.723,4
0.0,0.293,0.267,0.32,5
0.5,0.275,0.25,0.302,5
1.0,0.224,0.173,0.28,5
1.5,0.137,0.068,0.23,5
2.0,0.137,0.068,0.23,5
2.5,0.137,0.068,0.23,5
0.0,0.37,0.328,0.411,6
0.5,0.352,0.312,0.393,6
1.0,0.208,0.17,0.249,6
1.5,0.131,0.099,0.168,6
2.0,0.117,0.085,0.154,6
2.5,0.053,0.029,0.089,6
3.0,0.044,0.022,0.079,6
3.5,0.025,0.009,0.055,6
4.0,0.025,0.009,0.055,6
0.0,0.703,0.685,0.72,7
0.5,0.701,0.683,0.719,7
1.0,0.663,0.645,0.681,7
1.5,0.625,0.606,0.644,7
2.0,0.59,0.571,0.609,7
2.5,0.567,0.548,0.587,7
3.0,0.529,0.509,0.549,7
3.5,0.506,0.485,0.526,7
4.0,0.483,0.463,0.503,7
4.5,0.459,0.439,0.48,7
5.0,0.433,0.412,0.453,7
5.5,0.411,0.39,0.431,7
6.0,0.393,0.372,0.413,7
6.5,0.377,0.357,0.398,7
7.0,0.366,0.345,0.386,7
7.5,0.361,0.341,0.382,7
8.0,0.347,0.325,0.37,7
8.5,0.341,0.319,0.364,7
9.0,0.341,0.319,0.364,7
0.0,0.693,0.622,0.754,8
0.5,0.688,0.616,0.749,8
1.0,0.553,0.474,0.626,8
1.5,0.553,0.474,0.626,8
2.0,0.553,0.474,0.626,8
0.0,0.779,0.768,0.789,10
0.5,0.778,0.767,0.789,10
1.0,0.735,0.723,0.747,10
1.5,0.703,0.691,0.715,10
2.0,0.679,0.666,0.692,10
2.5,0.639,0.626,0.652,10
3.0,0.613,0.599,0.627,10
3.5,0.571,0.556,0.585,10
4.0,0.553,0.538,0.567,10
4.5,0.518,0.502,0.533,10
5.0,0.498,0.482,0.514,10
5.5,0.465,0.448,0.481,10
6.0,0.442,0.425,0.458,10
6.5,0.402,0.384,0.42,10
7.0,0.372,0.354,0.391,10
7.5,0.368,0.35,0.387,10
8.0,0.368,0.35,0.387,10
